number,value,datetime_start,datetime_complete,duration,params_p_factor,system_attrs_fixed_params,state
0,18.3896541595459,2025-01-16 07:45:39.971492,2025-01-16 07:48:18.983401,0 days 00:02:39.011909,0.0,{'p_factor': 0.0},COMPLETE
1,15.146989822387695,2025-01-16 07:48:18.985450,2025-01-16 07:50:54.197848,0 days 00:02:35.212398,0.1,{'p_factor': 0.1},COMPLETE
2,10.315622329711914,2025-01-16 07:50:54.203798,2025-01-16 07:53:29.230455,0 days 00:02:35.026657,0.2,{'p_factor': 0.2},COMPLETE
3,13.48316764831543,2025-01-16 07:53:29.231310,2025-01-16 07:56:04.725630,0 days 00:02:35.494320,0.3,{'p_factor': 0.3},COMPLETE
4,24.784774780273438,2025-01-16 07:56:04.726494,2025-01-16 07:58:39.748066,0 days 00:02:35.021572,0.4,{'p_factor': 0.4},COMPLETE
5,19.683956146240234,2025-01-16 07:58:39.749041,2025-01-16 08:01:13.629640,0 days 00:02:33.880599,0.5,{'p_factor': 0.5},COMPLETE
6,18.456073760986328,2025-01-16 08:01:13.630465,2025-01-16 08:03:48.146796,0 days 00:02:34.516331,0.6,{'p_factor': 0.6},COMPLETE
7,10.200226783752441,2025-01-16 08:03:48.147654,2025-01-16 08:06:23.408884,0 days 00:02:35.261230,0.7,{'p_factor': 0.7},COMPLETE
8,26.787458419799805,2025-01-16 08:06:23.409787,2025-01-16 08:08:59.169469,0 days 00:02:35.759682,0.8,{'p_factor': 0.8},COMPLETE
9,25.06883430480957,2025-01-16 08:08:59.170264,2025-01-16 08:11:33.574946,0 days 00:02:34.404682,0.9,{'p_factor': 0.9},COMPLETE
10,65.49818420410156,2025-01-16 08:11:33.575943,2025-01-16 08:13:31.440253,0 days 00:01:57.864310,1.0,{'p_factor': 1.0},COMPLETE
