number,value,datetime_start,datetime_complete,duration,params_DROPOUT,params_HIDDEN_SIZE,params_LEARNING_RATE,params_NUM_LAYERS,user_attrs_mae,user_attrs_mae_mean,user_attrs_mape,user_attrs_mape_mean,user_attrs_rmse,user_attrs_rmse_mean,user_attrs_std_dev,user_attrs_std_dev_mean,state
5,1.5882378816604614,2025-01-21 15:35:53.233212,2025-01-21 15:54:47.674041,0 days 00:18:54.440829,0.03,220,0.0005,4,1.5882379,1.4409419,3.8335304,3.3411694,2.1254570484161377,1.8359967056598068,2.0751252,1.4429295,COMPLETE
1,1.9876928329467773,2025-01-21 14:41:34.116837,2025-01-21 14:55:17.117110,0 days 00:13:43.000273,0.03,180,0.0007000000000000001,3,1.9876928,1.8765616,4.256498,3.9352486,2.4883008003234863,2.2476044419068706,2.022001,1.4354019,COMPLETE
16,2.2759573459625244,2025-01-21 20:06:17.083371,2025-01-21 20:29:09.108908,0 days 00:22:52.025537,0.02,180,0.0006000000000000001,4,2.2759573,2.5029671,5.485855,6.1366243,2.9809048175811768,2.90096847798529,2.6274617,1.591543,COMPLETE
13,2.3281116485595703,2025-01-21 18:46:58.649674,2025-01-21 19:17:34.192429,0 days 00:30:35.542755,0.02,200,0.0006000000000000001,3,2.3281116,2.229891,5.1473303,4.5826845,3.1825335025787354,2.9050099813686034,2.7154276,2.1820076,COMPLETE
9,2.3293495178222656,2025-01-21 16:58:55.742482,2025-01-21 17:23:49.300037,0 days 00:24:53.557555,0.06,200,0.0002,3,2.3293495,2.3981192,5.005812,5.099635,2.8767240047454834,2.822502068042275,2.6199954,2.094262,COMPLETE
18,2.4069626331329346,2025-01-21 20:51:24.847454,2025-01-21 21:17:19.935660,0 days 00:25:55.088206,0.03,220,0.00030000000000000003,4,2.4069626,2.5517695,4.966352,5.198093,2.901219367980957,2.9003426714125955,2.28937,1.6356832,COMPLETE
4,2.708141803741455,2025-01-21 15:21:19.779054,2025-01-21 15:35:53.232429,0 days 00:14:33.453375,0.06,220,0.0007000000000000001,3,2.7081418,2.9166903,5.1906652,5.340313,3.268139600753784,3.2568004878025882,2.6455321,1.6746354,COMPLETE
8,2.728224754333496,2025-01-21 16:30:43.477374,2025-01-21 16:58:55.741284,0 days 00:28:12.263910,0.01,180,0.0001,4,2.7282248,2.5953746,6.1810875,5.68886,3.565089225769043,3.2349129483058734,3.552316,2.5812101,COMPLETE
11,2.7765533924102783,2025-01-21 17:52:49.196300,2025-01-21 18:15:45.637899,0 days 00:22:56.441599,0.02,200,0.0008,3,2.7765534,2.8743658,6.2493567,6.4879594,3.498976230621338,3.208385010080155,2.5586452,1.4903735,COMPLETE
6,2.8706514835357666,2025-01-21 15:54:47.674948,2025-01-21 16:11:55.062855,0 days 00:17:07.387907,0.08,200,0.0004,3,2.8706515,2.726469,7.074146,6.635818,3.757512092590332,3.191256042333528,3.382317,1.9923016,COMPLETE
10,2.9260482788085938,2025-01-21 17:23:49.301339,2025-01-21 17:52:49.194865,0 days 00:28:59.893526,0.0,220,0.0005,4,2.9260483,2.6889005,6.5327926,5.6371408,3.5840845108032227,3.1470320680350334,2.504727,1.8661834,COMPLETE
12,3.3372724056243896,2025-01-21 18:15:45.639355,2025-01-21 18:46:58.648306,0 days 00:31:13.008951,0.04,180,0.0006000000000000001,4,3.3372724,3.5049124,8.248245,8.770632,4.164347171783447,3.877905898824079,3.4728818,1.9168646,COMPLETE
14,3.4114513397216797,2025-01-21 19:17:34.194125,2025-01-21 19:34:00.863286,0 days 00:16:26.669161,0.04,200,0.0005,4,3.4114513,3.8833454,7.474874,8.566182,4.105593681335449,4.239624107532271,2.6958628,1.8019073,COMPLETE
0,3.630950927734375,2025-01-21 14:26:45.034569,2025-01-21 14:41:34.115437,0 days 00:14:49.080868,0.06,220,0.0007000000000000001,3,3.630951,3.8252883,9.655054,10.30807,4.804695129394531,4.225459333512958,4.272425,1.9511764,COMPLETE
7,3.669733762741089,2025-01-21 16:11:55.063966,2025-01-21 16:30:43.476360,0 days 00:18:48.412394,0.03,220,0.0001,4,3.6697338,2.998854,9.125002,7.058779,4.651151180267334,3.5746819066617186,3.8737106,2.5562246,COMPLETE
2,4.760655879974365,2025-01-21 14:55:17.117715,2025-01-21 15:12:18.493016,0 days 00:17:01.375301,0.04,180,0.00030000000000000003,4,4.760656,4.8338714,10.43335,10.356049,5.4389495849609375,5.253213781124395,3.5720031,2.5757453,COMPLETE
17,4.991780757904053,2025-01-21 20:29:09.111020,2025-01-21 20:51:24.845072,0 days 00:22:15.734052,0.05,200,0.0007000000000000001,3,4.9917808,5.4882827,9.292676,10.007924,5.710813045501709,5.914789202650268,3.3417246,2.286322,COMPLETE
19,5.406529426574707,2025-01-21 21:17:19.937844,2025-01-21 21:45:50.550629,0 days 00:28:30.612785,0.08,180,0.0005,3,5.4065294,4.932701,13.687426,12.164953,6.218719005584717,5.308537592820651,3.1704383,1.9243522,COMPLETE
3,5.470243453979492,2025-01-21 15:12:18.493667,2025-01-21 15:21:19.778188,0 days 00:09:01.284521,0.09,180,0.0004,4,5.4702435,5.344505,12.354681,12.113936,6.577832221984863,5.978010839325904,6.453057,3.5250452,COMPLETE
15,6.464913845062256,2025-01-21 19:34:00.864772,2025-01-21 20:06:17.081768,0 days 00:32:16.216996,0.0,220,0.0008,3,6.464914,5.838418,16.524166,14.740837,7.551393508911133,6.283264734473714,3.9876018,2.2448373,COMPLETE
